month,day,year,sno,state,total_schools,reported_schools,meal_not_served,food_grains,fund,cook_cum_helper,ngo_shg,holidays,others
1,10,2026,7,MAHARASHTRA,83605,77069,495,0,6,229,0,84,176
1,10,2026,8,ODISHA,50354,39240,13,0,0,0,0,1,12
1,10,2026,9,RAJASTHAN,67628,24644,8062,14,0,6,1,6047,1994
1,10,2026,10,TRIPURA,4327,60,58,4,0,0,2,47,5
1,10,2026,11,WEST BENGAL,81824,75907,1265,0,0,22,1,162,1080
1,11,2026,NA,NA,0,0,0,0,0,0,0,0,0
1,12,2026,1,ASSAM,43785,41241,328,0,0,0,0,276,52
1,12,2026,2,BIHAR,65961,21235,838,3,2,1,1,101,730
1,12,2026,3,GOA,1216,1216,36,0,0,0,0,36,0
1,12,2026,4,GUJARAT,32251,31772,80,2,0,28,0,7,43
1,12,2026,5,HIMACHAL PRADESH,14416,7988,34,0,0,0,0,32,2
1,12,2026,6,MADHYA PRADESH,88192,83989,1015,50,0,4,3,578,380
1,12,2026,7,MAHARASHTRA,83605,72007,1401,0,7,251,0,940,203
1,12,2026,8,ODISHA,50354,42097,24,0,0,1,0,0,23
1,12,2026,9,TAMIL NADU,41658,39582,58,1,0,0,0,6,51
1,12,2026,10,TRIPURA,4327,4147,1426,7,0,0,1,1413,5
1,13,2026,1,A & N ISLANDS,325,325,14,0,0,0,0,14,0
1,13,2026,2,ASSAM,43785,38006,293,30,0,0,0,206,57
1,13,2026,3,BIHAR,65961,26347,794,4,1,3,3,83,700
1,13,2026,4,GOA,1216,1216,14,0,0,0,0,12,2
1,13,2026,5,GUJARAT,32251,31523,173,1,0,24,0,100,48
1,13,2026,6,HIMACHAL PRADESH,14416,6614,35,0,0,0,0,28,7
1,13,2026,7,MADHYA PRADESH,88192,85475,998,18,0,0,3,580,397
1,13,2026,8,MAHARASHTRA,83605,77433,901,0,5,233,0,459,204
1,13,2026,9,ODISHA,50354,42324,33,0,0,0,0,2,31
1,13,2026,10,RAJASTHAN,67628,41430,3621,50,2,35,3,2662,869
1,13,2026,11,TAMIL NADU,41658,38629,64,0,0,0,0,7,57
1,13,2026,12,TRIPURA,4327,4232,1482,12,0,0,0,1462,8
1,13,2026,13,WEST BENGAL,81824,69679,5677,3,0,44,2,2474,3154
1,14,2026,1,BIHAR,65961,80,26,0,0,0,0,25,1
